label;query;dcg
STEEMER;1;4.380927073608108
STEEMER;2;0.0
STEEMER;3;4.0
STEEMER;4;0.15474112289381664
STEEMER;5;0.8021299961151481
STEEMER;6;0.345050121593011
STEEMER;7;0.2
STEEMER;8;2.0
STEEMER;9;0.0
STEEMER;10;0.4
STEEMER;11;0.8271143640306997
STEEMER;12;0.1
STEEMER;13;0.0
STEEMER;14;3.502191153785041
STEEMER;15;0.1722706232293572
STEEMER;16;2.7666019422134203
STEEMER;17;2.2147695362383106
STEEMER;18;3.1
STEEMER;19;0.4371504442412634
STEEMER;20;5.309925754361278
STEEMER;21;1.0
STEEMER;22;1.4323465818787766
STEEMER;23;0.2
STEEMER;24;0.26289487310880133
STEEMER;25;3.580927073608108
STEEMER;26;0.25237190142858296
STEEMER;27;0.2
STEEMER;28;1.0
STEEMER;29;0.14248287484320887
STEEMER;30;0.2835049736227382
STEEMER;31;4.527525022587992
STEEMER;32;0.4
STEEMER;33;0.4465979489798839
STEEMER;34;4.972783899694176
STEEMER;35;1.1068621561324066
STEEMER;36;1.0
STEEMER;37;5.601797804708183
STEEMER;38;4.0
STEEMER;39;0.49367841278984054
STEEMER;40;4.362632464833976
STEEMER;41;4.252371901428583
STEEMER;42;5.182415879070348
STEEMER;43;0.33383387305604173
STEEMER;44;3.518921415114666
STEEMER;45;0.28832646539971973
STEEMER;46;0.42464252465794017
STEEMER;47;0.03868528072345416
STEEMER;48;0.06878828028985227
STEEMER;49;5.170189961513801
STEEMER;50;0.30686215613240664
STEEMER;51;0.44273374303320184
STEEMER;52;0.0
STEEMER;53;0.5015016191681253
STEEMER;54;4.6823031837418005
STEEMER;55;0.0
STEEMER;56;0.13333333333333333
STEEMER;57;1.2767271675349372
STEEMER;58;0.5557755968520954
STEEMER;59;0.1160558421703625
STEEMER;60;0.0
STEEMER;61;3.6045747707549376
STEEMER;62;0.4327680691573783
STEEMER;63;0.12920296742201792
STEEMER;64;0.14248287484320887
STEEMER;65;3.451958485944165
STEEMER;66;0.2652059994061708
STEEMER;67;0.2625363007553513
STEEMER;68;4.0
STEEMER;69;0.1722706232293572
STEEMER;70;0.26257962192855155
STEEMER;71;1.1333333333333333
STEEMER;72;1.1630929753571457
STEEMER;73;0.5918634607727441
STEEMER;74;4.0
STEEMER;75;0.2678340982509624
STEEMER;76;0.5424828748432089
STEEMER;77;4.754741122893817
STEEMER;78;1.2892264975441
STEEMER;79;3.1618066694250935
STEEMER;80;3.0
STEEMER;81;0.6040324241440033
STEEMER;82;4.0
STEEMER;83;1.5722706232293573
STEEMER;84;0.5051738797099282
STEEMER;85;0.05
STEEMER;86;2.4944153172552004
STEEMER;87;0.24248287484320888
STEEMER;88;0.0
STEEMER;89;0.07124143742160444
STEEMER;90;4.55674328178465
STEEMER;91;1.724985882200526
STEEMER;92;1.6732230163872719
STEEMER;94;4.371375220144817
STEEMER;95;1.0
STEEMER;96;0.0
STEEMER;97;1.0
STEEMER;98;0.0
STEEMER;99;0.0
STEEMER;100;0.6246425246579402
